爱不爱	abai
熬不过	abgo
矮半截	abjp
阿波罗	ablo
熬不住	abvu
按错了	acle
安道尔	ader
暗地里	adli
按道理	adli
奥地利	adli
爱迪生	adug
阿尔法	aefa
爱尔兰	aelj
阿富汗	afhj
阿凡提	afti
挨个儿	ager
安哥拉	agla
阿根廷	agtk
爱国者	agve
爱国心	agxb
矮个子	agzi
安魂曲	ahqu
安徽省	ahug
爱好者	ahve
按常理	aili
阿昌族	aizu
安家费	ajfw
安监局	ajjv
安静了	ajle
氨基酸	ajsr
安卡拉	akla
阿拉伯	albo
阿拉丁	aldk
安理会	alhv
阿联酋	alqq
安乐死	alsi
按理说	aluo
安乐窝	alwo
安乐椅	alyi
阿米巴	amba
埃米尔	amer
安眠药	amyc
爱面子	amzi
安全部	aqbu
安全带	aqdd
安全阀	aqfa
安全感	aqgj
爱琴海	aqhd
安全局	aqjv
安全门	aqmf
爱情片	aqpm
安全性	aqxk
奥斯卡	aska
奥斯陆	aslu
奥斯汀	astk
奥陶纪	atji
凹透镜	atjk
阿托品	atpb
安徒生	atug
阿诗玛	auma
爱谁谁	auuv
安装版	avbj
安装盘	avpj
奥委会	awhv
癌细胞	axbc
奥运村	aycy
奥运会	ayhv
哎呦喂	ayww
艾滋病	azbk
不安全	baqr
白矮星	baxk
并不比	bbbi
扳不倒	bbdc
办不到	bbdc
巴不得	bbde
宝贝儿	bber
比不过	bbgo
版本号	bbhc
并不会	bbhv
办不成	bbig
不包括	bbko
八百里	bbli
巴比伦	bbly
帮帮忙	bbmh
并不能	bbng
抱不平	bbpk
北半球	bbqq
棒棒糖	bbth
半边天	bbtm
比不上	bbuh
摆摆手	bbuz
保不住	bbvu
八宝粥	bbvz
北部湾	bbwj
百宝箱	bbxl
并不想	bbxl
不必要	bbyc
北冰洋	bbyh
半辈子	bbzi
冰醋酸	bcsr
波茨坦	bctj
不得不	bdbu
不地道	bddc
不单单	bddj
半点儿	bder
贝多芬	bdff
白癜风	bdfg
北戴河	bdhe
北大荒	bdhl
本地化	bdhx
不对称	bdif
白帝城	bdig
不动产	bdij
不对劲	bdjb
背地里	bdli
不得了	bdln
帮倒忙	bdmh
不定期	bdqi
本地人	bdrf
班得瑞	bdrv
变电所	bdso
不打算	bdsr
半导体	bdti
不对头	bdtz
表达式	bdui
别当真	bdvf
变电站	bdvj
不倒翁	bdwg
本单位	bdww
不动心	bdxb
北斗星	bdxk
不得已	bdyi
不答应	bdyk
不等于	bdyv
半吊子	bdzi
巴尔干	begj
白垩纪	beji
包二奶	bend
百分百	bfbd
百分比	bfbi
不方便	bfbm
避风港	bfgh
百分号	bfhc
暴发户	bfhu
爆发力	bfli
不服气	bfqi
播放器	bfqi
比方说	bfuo
并发数	bfuu
百分之	bfvi
不放心	bfxb
暴风雪	bfxt
暴风雨	bfyv
不负责	bfze
并购案	bgan
巴格达	bgda
不敢当	bgdh
不过关	bggr
报告会	bghv
白骨精	bgjk
不管了	bgle
包管理	bgli
不归路	bglu
办公楼	bglz
帮个忙	bgmh
不给你	bgni
布谷鸟	bgnn
不公平	bgpk
办公区	bgqu
被告人	bgrf
办公厅	bgtk
包工头	bgtz
办公室	bgui
办公桌	bgvo
不甘心	bgxb
被告席	bgxi
不高兴	bgxk
不管用	bgys
半个月	bgyt
半个字	bgzi
不会吧	bhba
刨花板	bhbj
保护层	bhcg
北海道	bhdc
不合格	bhge
背黑锅	bhgo
白花花	bhhx
白胡椒	bhjn
不回来	bhld
不合理	bhli
薄荷脑	bhnc
保皇派	bhpd
变换器	bhqi
保护区	bhqu
不回去	bhqu
不合群	bhqy
不好惹	bhre
保护伞	bhsj
不划算	bhsr
不合适	bhui
不好说	bhuo
白话文	bhwf
保护性	bhxk
不和谐	bhxp
不成立	bili
半成品	bipb
笔记本	bjbf
保健操	bjcc
不见得	bjde
不及格	bjge
比较好	bjhc
不仅仅	bjjb
不健康	bjkh
不见了	bjle
